DATE,MKTGDPMXA646NWDB
01/01/1960," 13,040,000,000.00 "
01/01/1961," 14,160,000,000.00 "
01/01/1962," 15,200,000,000.00 "
01/01/1963," 16,960,000,000.00 "
01/01/1964," 20,080,000,000.00 "
01/01/1965," 21,840,000,000.00 "
01/01/1966," 24,320,000,000.00 "
01/01/1967," 26,560,000,000.00 "
01/01/1968," 29,360,000,000.00 "
01/01/1969," 32,480,000,000.00 "
01/01/1970," 35,520,000,000.00 "
01/01/1971," 39,200,000,000.00 "
01/01/1972," 45,200,000,000.00 "
01/01/1973," 55,280,000,000.00 "
01/01/1974," 72,000,000,000.00 "
01/01/1975," 88,000,000,000.00 "
01/01/1976," 89,025,974,025.97 "
01/01/1977," 81,814,159,292.04 "
01/01/1978," 102,500,000,000.00 "
01/01/1979," 134,561,403,508.77 "
01/01/1980," 205,139,086,956.52 "
01/01/1981," 263,959,336,734.69 "
01/01/1982," 184,609,157,801.42 "
01/01/1983," 156,159,198,584.51 "
01/01/1984," 184,261,495,828.37 "
01/01/1985," 195,219,789,801.48 "
01/01/1986," 134,550,096,436.74 "
01/01/1987," 147,540,738,281.82 "
01/01/1988," 181,611,549,975.80 "
01/01/1989," 221,400,669,713.59 "
01/01/1990," 261,253,582,805.95 "
01/01/1991," 313,142,768,453.49 "
01/01/1992," 363,157,598,242.27 "
01/01/1993," 500,736,065,605.34 "
01/01/1994," 527,813,238,126.28 "
01/01/1995," 360,073,909,243.86 "
01/01/1996," 410,975,595,310.16 "
01/01/1997," 500,413,483,109.18 "
01/01/1998," 526,502,129,378.28 "
01/01/1999," 600,232,874,042.93 "
01/01/2000," 707,906,744,574.64 "
01/01/2001," 756,706,300,589.79 "
01/01/2002," 772,106,378,935.38 "
01/01/2003," 729,336,319,677.45 "
01/01/2004," 782,240,601,984.76 "
01/01/2005," 877,476,221,382.10 "
01/01/2006," 975,387,131,716.09 "
01/01/2007," 1,052,696,282,278.88 "
01/01/2008," 1,109,989,063,586.62 "
01/01/2009," 900,045,350,649.35 "
01/01/2010," 1,057,801,295,584.05 "
01/01/2011," 1,180,489,601,957.61 "
01/01/2012," 1,201,089,987,015.45 "
01/01/2013," 1,274,443,084,716.57 "
01/01/2014," 1,314,563,967,425.24 "
01/01/2015," 1,170,564,619,927.69 "
01/01/2016," 1,077,903,618,176.07 "
01/01/2017," 1,157,736,189,998.15 "
01/01/2018," 1,220,699,479,845.98 "
01/01/2019," 1,258,286,717,124.53 "
